,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
18,F29432,1965.0,C,2.0,2019-09-05 11:05:04.000,2019-09-05,2019-09-05 00:00:00,2019-09-20,2019-09-06,976.5,0.0,0.0
22,F29436,1965.0,C,2.0,2019-09-06 12:01:36.000,2019-09-06,2019-09-06 00:00:00,2019-09-21,2019-09-12,976.5,0.0,0.0
65,F29479,1240.0,E,2.0,2019-09-11 18:38:45.000,2019-09-11,2019-09-11 00:00:00,2019-09-11,,4135.0,0.0,0.0
71,F29485,1965.0,C,2.0,2019-09-12 12:14:28.000,2019-09-12,2019-09-12 00:00:00,2019-09-27,2019-09-12,976.5000000000001,146.48,0.0
72,F29486,1965.0,E,2.0,2019-09-12 12:25:52.000,2019-09-12,2019-09-12 00:00:00,2019-09-27,,976.5000000000001,146.48,0.0
78,F29492,1020.0,E,2.0,2019-09-12 13:50:21.000,2019-09-12,2019-09-12 00:00:00,2019-10-12,,262.94,0.0,0.0
79,F29493,1020.0,E,2.0,2019-09-12 13:58:25.000,2019-09-12,2019-09-12 00:00:00,2019-10-12,,448.28000000000003,0.0,0.0
114,F29528,1125.0,C,,2019-09-18 10:03:18.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,2019-09-18,2697.0,0.0,0.0
116,F29530,1125.0,E,2.0,2019-09-18 10:12:54.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,,2697.0,0.0,0.0
135,F29549,1965.0,E,2.0,2019-09-19 11:14:09.000,2019-09-19,2019-09-19 00:00:00,2019-10-04,,1155.0,173.25000000000006,0.0
160,F29574,1158.0,E,2.0,2019-09-20 12:06:14.000,2019-09-20,2019-09-20 00:00:00,2019-09-20,,420.00000000000006,0.0,0.0
168,F29582,1478.0,E,1.0,2019-09-20 14:12:12.000,2019-09-20,2019-09-10 00:00:00,2019-10-20,,4679.0,0.0,0.0
182,F29596,1852.0,E,2.0,2019-09-20 17:54:09.000,2019-09-20,2019-09-17 00:00:00,2019-10-05,,7125.9000000000015,0.0,0.0
185,F29599,1703.0,E,1.0,2019-09-23 09:25:51.000,2019-09-23,2019-09-06 00:00:00,2019-10-23,,50994.00000000001,0.0,0.0
186,F29600,1965.0,E,2.0,2019-09-23 09:52:38.000,2019-09-23,2019-09-23 00:00:00,2019-10-08,,2790.5000000000005,418.58,0.0
210,F29624,1125.0,E,,2019-09-24 08:04:45.000,2019-09-24,2019-09-24 00:00:00,2019-10-09,,1319.0,0.0,0.0
256,F29670,1586.0,E,2.0,2019-09-26 16:28:39.000,2019-09-26,2019-09-26 00:00:00,2019-09-26,,144.0,0.0,0.0
263,F29677,1020.0,E,2.0,2019-09-27 11:08:37.000,2019-09-27,2019-09-27 00:00:00,2019-10-27,,4528.6,0.0,0.0
299,F29713,1083.0,E,1.0,2019-09-30 18:14:59.000,2019-09-30,2019-09-30 00:00:00,2019-09-30,,4070.5517000000004,0.0,0.0
305,F29719,1703.0,E,1.0,2019-09-30 18:33:33.000,2019-09-30,2019-09-30 00:00:00,2019-10-30,,50994.00000000001,0.0,0.0
323,F29737,1965.0,E,2.0,2019-10-02 09:57:08.000,2019-10-02,2019-10-02 00:00:00,2019-10-17,,976.5000000000001,146.48,0.0
343,F29757,1083.0,E,3.0,2019-10-03 10:50:19.000,2019-10-03,2019-10-04 00:00:00,2019-10-03,,4070.55,0.0,0.0
348,F29764,1429.0,C,4.0,2019-10-03 15:02:51.000,2019-10-03,2019-10-03 00:00:00,2019-11-02,2019-10-04,1490.0000000000002,0.0,0.0
353,F29769,1965.0,E,2.0,2019-10-03 16:51:20.000,2019-10-03,2019-10-03 00:00:00,2019-10-18,,6516.0,977.4000000000003,0.0
364,F29780,1429.0,E,4.0,2019-10-04 08:06:37.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,,1490.0000000000002,0.0,0.0
368,F29784,1053.0,E,3.0,2019-10-04 09:02:02.000,2019-10-04,2019-09-26 00:00:00,2019-11-03,,8686.41,0.0,0.0
386,F29802,1159.0,C,,2019-10-04 14:23:06.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,2019-10-04,675.0,0.0,0.0
387,F29803,1159.0,E,3.0,2019-10-04 14:25:02.000,2019-10-04,2019-10-03 00:00:00,2019-11-03,,2430.0,0.0,0.0
388,F29804,1159.0,E,3.0,2019-10-04 14:29:15.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,,675.0,0.0,0.0
411,F29827,1852.0,C,2.0,2019-10-08 11:29:07.000,2019-10-08,2019-10-08 00:00:00,2019-10-23,2019-10-08,659.8,0.0,0.0
417,F29833,1852.0,E,2.0,2019-10-08 16:36:30.000,2019-10-08,2019-10-08 00:00:00,2019-10-23,,659.7987,0.0,0.0
434,F29850,1852.0,E,3.0,2019-10-09 17:49:27.000,2019-10-09,2019-10-09 00:00:00,2019-10-24,,7125.9000000000015,0.0,0.0
490,F29906,1686.0,C,2.0,2019-10-15 10:47:54.000,2019-10-15,2019-10-08 00:00:00,2019-10-15,2019-10-15,315.0,0.0,0.0
